Nitrogen dioxide,Status_V ugm-3,PM10 particulate matter (Hourly measured),Status2_V ugm-3 (INDIC.GRAV),Status2_V ugm-3 (TEOM FDMS),Status2_V ugm-3 (VCM)
13.72579,1,14.3,0,1,0
14.23786,1,14.3,0,1,0
23.05566,1,14.3,0,1,0
26.43467,1,14.3,0,1,0
15.29114,1,14.3,0,1,0
16.55171,1,14.3,0,1,0
19.34239,1,14.3,0,1,0
17.03485,1,14.3,0,1,0
21.9997,1,14.3,0,1,0
58.46947,1,14.3,0,1,0
60.30341,1,14.3,0,1,0
58.62661,1,14.3,0,1,0
29.6273,1,14.3,0,1,0
31.00477,1,14.3,0,1,0
35.83482,1,14.3,0,1,0
37.87836,1,14.3,0,1,0
29.978,1,14.3,0,1,0
13.8458,1,14.3,0,1,0
17.27905,1,14.3,0,1,0
9.19741,1,14.3,0,1,0
23.2153,1,14.3,0,1,0
29.39141,1,14.3,0,1,0
42.54655,1,14.3,0,1,0
55.55987,1,14.3,0,1,0
37.30481,1,14.3,0,1,0
27.07254,1,14.3,0,1,0
29.90653,1,14.3,0,1,0
13.01093,1,14.3,0,1,0
28.65098,1,14.3,0,1,0
14.06857,1,14.3,0,1,0
13.53161,1,14.3,0,1,0
15.38208,1,14.3,0,1,0
17.12463,1,14.3,0,1,0
19.26993,1,9.5,0,1,0
20.9822,1,13.2,0,1,0
32.92834,1,16.4,0,1,0
26.60611,1,13.9,0,1,0
20.89282,1,15.5,0,1,0
15.33418,1,12.5,0,1,0
18.21795,1,14.7,0,1,0
7.33957,1,14.7,0,1,0
16.28586,1,14.4,0,1,0
8.97876,1,16.0,0,1,0
4.48664,1,16.6,0,1,0
9.44594,1,16.6,0,1,0
11.00356,1,18.5,0,1,0
19.08543,1,19.3,0,1,0
26.78172,1,18.4,0,1,0
29.06566,1,19.3,0,1,0
26.45695,1,16.2,0,1,0
16.74438,1,15.1,0,1,0
17.44549,1,13.8,0,1,0
18.14358,1,11.6,0,1,0
14.19496,1,11.3,0,1,0
19.85385,1,18.9,0,1,0
37.43802,1,19.9,0,1,0
30.71254,1,20.3,0,1,0
36.55611,1,21.5,0,1,0
27.85106,1,15.9,0,1,0
24.85591,1,16.8,0,1,0
44.01667,1,16.2,0,1,0
23.7618,1,15.0,0,1,0
39.20817,1,21.6,0,1,0
46.22878,1,21.9,0,1,0
34.49896,1,18.7,0,1,0
28.2451,1,19.7,0,1,0
23.80344,1,19.6,0,1,0
8.96356,1,19.6,0,1,0
13.06647,1,20.0,0,1,0
31.66575,1,18.9,0,1,0
56.64376,1,21.9,0,1,0
73.2952,1,24.8,0,1,0
65.75705,1,29.2,0,1,0
37.52306,1,27.5,0,1,0
31.73051,1,23.5,0,1,0
36.89494,1,21.2,0,1,0
32.44812,1,22.7,0,1,0
22.81982,1,21.3,0,1,0
28.98188,1,23.2,0,1,0
38.13367,1,27.5,0,1,0
39.828,1,25.9,0,1,0
50.09191,1,32.8,0,1,0
57.03466,1,25.2,0,1,0
62.42207,1,26.1,0,1,0
45.60233,1,26.4,0,1,0
35.6478,1,25.7,0,1,0
45.31536,1,27.3,0,1,0
45.47343,1,28.3,0,1,0
33.9626,1,29.0,0,1,0
32.25762,1,36.5,0,1,0
25.68098,1,28.9,0,1,0
32.44032,1,33.6,0,1,0
35.66698,1,37.9,0,1,0
44.82115,1,40.7,0,1,0
52.61677,1,41.1,0,1,0
66.72067,1,50.0,0,1,0
56.25908,1,44.3,0,1,0
28.52798,1,36.5,0,1,0
24.82098,1,41.3,0,1,0
28.84199,1,43.0,0,1,0
28.75946,1,42.3,0,1,0
29.58372,1,42.3,0,1,0
27.39963,1,42.3,0,1,0
27.61042,1,42.3,0,1,0
17.31147,1,42.3,0,1,0
10.81198,1,24.6,0,1,0
19.81941,1,24.5,0,1,0
26.71229,1,27.3,0,1,0
36.73434,1,26.6,0,1,0
27.32821,1,25.1,0,1,0
41.32851,1,26.0,0,1,0
20.77058,1,22.4,0,1,0
19.92788,1,24.1,0,1,0
12.0136,1,24.1,0,1,0
22.72686,1,24.1,0,1,0
32.39075,1,23.9,0,1,0
24.85654,1,23.8,0,1,0
32.79974,1,29.1,0,1,0
38.76447,1,29.3,0,1,0
22.55441,1,21.6,0,1,0
26.29021,1,21.8,0,1,0
24.1984,1,23.7,0,1,0
26.72078,1,29.7,0,1,0
31.58399,1,27.8,0,1,0
23.49174,1,29.6,0,1,0
24.42811,1,30.5,0,1,0
14.46977,1,28.7,0,1,0
21.0489,1,26.7,0,1,0
10.94935,1,23.4,0,1,0
13.0791,1,24.1,0,1,0
47.56661,1,33.4,0,1,0
44.19262,1,28.8,0,1,0
27.03396,1,18.8,0,1,0
27.67638,1,15.1,0,1,0
28.14159,1,15.3,0,1,0
29.64345,1,12.9,0,1,0
19.57095,1,10.6,0,1,0
12.89074,1,12.2,0,1,0
40.88484,1,11.2,0,1,0
16.9189,1,11.2,0,1,0
10.2943,1,12.0,0,1,0
14.94362,1,10.9,0,1,0
17.40617,1,13.6,0,1,0
32.87328,1,19.2,0,1,0
26.93976,1,15.7,0,1,0
26.80264,1,14.1,0,1,0
28.28558,1,15.1,0,1,0
31.82712,1,12.9,0,1,0
33.20639,1,17.8,0,1,0
26.39852,1,17.6,0,1,0
22.96337,1,11.9,0,1,0
25.10594,1,12.4,0,1,0
25.43161,1,15.0,0,1,0
24.00821,1,19.4,0,1,0
26.80919,1,13.9,0,1,0
30.26213,1,20.9,0,1,0
36.43371,1,18.8,0,1,0
25.86608,1,19.0,0,1,0
26.565,1,19.9,0,1,0
14.99194,1,15.9,0,1,0
9.5943,1,18.1,0,1,0
9.3742,1,13.6,0,1,0
13.99364,1,15.4,0,1,0
6.62785,1,13.3,0,1,0
26.25108,1,10.0,0,1,0
75.09992,1,10.0,0,1,0
82.35507,1,10.0,0,1,0
62.51445,1,22.4,0,1,0
41.26741,1,14.8,0,1,0
29.76177,1,18.8,0,1,0
24.92013,1,24.7,0,1,0
27.43307,1,25.6,0,1,0
25.8597,1,27.1,0,1,0
20.61168,1,24.9,0,1,0
26.39058,1,30.7,0,1,0
23.57227,1,27.0,0,1,0
22.63095,1,24.3,0,1,0
31.14775,1,27.5,0,1,0
33.87695,1,25.3,0,1,0
29.12607,1,26.6,0,1,0
24.89731,1,28.0,0,1,0
18.7619,1,23.8,0,1,0
15.30216,1,25.5,0,1,0
10.08374,1,22.3,0,1,0
6.59186,1,22.6,0,1,0
5.77098,1,20.9,0,1,0
7.09891,1,24.5,0,1,0
10.69803,1,20.7,0,1,0
21.81339,1,23.8,0,1,0
35.27178,1,18.6,0,1,0
40.81878,1,10.0,0,1,0
37.90661,1,8.9,0,1,0
39.78945,1,12.8,0,1,0
25.88252,1,9.3,0,1,0
6.94958,1,5.7,0,1,0
5.32923,1,10.5,0,1,0
4.68597,1,6.1,0,1,0
5.35429,1,11.2,0,1,0
21.11502,1,13.6,0,1,0
16.1213,1,10.1,0,1,0
12.97798,1,7.8,0,1,0
23.37905,1,9.0,0,1,0
27.63374,1,12.4,0,1,0
37.60124,1,14.1,0,1,0
58.89803,1,12.1,0,1,0
34.44834,1,11.1,0,1,0
16.08514,1,13.2,0,1,0
17.74102,1,12.8,0,1,0
18.26407,1,12.5,0,1,0
22.12603,1,12.1,0,1,0
9.92366,1,9.0,0,1,0
17.16695,1,9.6,0,1,0
22.81461,1,9.1,0,1,0
47.74706,1,12.1,0,1,0
56.98343,1,15.9,0,1,0
47.46392,1,14.7,0,1,0
34.0853,1,19.7,0,1,0
25.10893,1,11.9,0,1,0
20.24551,1,12.8,0,1,0
27.67852,1,17.4,0,1,0
30.8836,1,18.4,0,1,0
25.02884,1,13.8,0,1,0
27.99273,1,20.5,0,1,0
28.3815,1,20.1,0,1,0
34.52546,1,16.3,0,1,0
56.92852,1,21.8,0,1,0
37.48732,1,18.1,0,1,0
40.19086,1,15.4,0,1,0
30.49027,1,12.4,0,1,0
37.30244,1,10.4,0,1,0
26.54662,1,12.5,0,1,0
16.18099,1,12.1,0,1,0
16.12687,1,13.5,0,1,0
15.92722,1,14.0,0,1,0
11.90226,1,12.2,0,1,0
15.19,1,13.0,0,1,0
26.01487,1,13.7,0,1,0
55.90209,1,17.5,0,1,0
80.64806,1,19.6,0,1,0
58.83193,1,24.5,0,1,0
32.885,1,27.0,0,1,0
22.73406,1,17.8,0,1,0
19.77262,1,13.6,0,1,0
17.6995,1,11.1,0,1,0
17.6995,1,16.0,0,1,0
13.96526,1,20.2,0,1,0
14.49554,1,22.9,0,1,0
12.78255,1,24.0,0,1,0
14.11804,1,25.6,0,1,0
17.31266,1,22.9,0,1,0
21.66864,1,23.1,0,1,0
12.72459,1,17.2,0,1,0
11.86675,1,18.1,0,1,0
10.61309,1,17.6,0,1,0
7.96991,1,11.5,0,1,0
7.02243,1,16.6,0,1,0
5.16267,1,20.6,0,1,0
5.35997,1,20.2,0,1,0
5.41247,1,20.2,0,1,0
7.79484,1,22.5,0,1,0
13.6288,1,20.9,0,1,0
25.62568,1,23.1,0,1,0
